InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0.3,10,QualityGatedTime,0.3,0.109701280949671,0.15201262207762,0.464758494576699
0.5,1,AllSensorsTime,0.5,0.111184688599212,0.151251279899007,0.470106490802626
0.5,1,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,1,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,2,AllSensorsTime,0.5,0.114786336026309,0.154551624251524,0.446729352599976
0.5,2,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,2,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,3,AllSensorsTime,0.5,0.112210950689553,0.152655986599067,0.460218291274522
0.5,3,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,3,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,4,AllSensorsTime,0.5,0.111132310170417,0.152593278666281,0.460661662592103
0.5,4,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,4,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,5,AllSensorsTime,0.5,0.114495346399172,0.153768149750498,0.452324566945796
0.5,5,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,5,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,6,AllSensorsTime,0.5,0.112328049830127,0.153444829413423,0.454625283226794
0.5,6,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,6,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,7,AllSensorsTime,0.5,0.114119921442098,0.153518412105426,0.45410210154728
0.5,7,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,7,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,8,AllSensorsTime,0.5,0.113670365632298,0.153916080150428,0.451270293782053
0.5,8,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,8,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,9,AllSensorsTime,0.5,0.111521631902351,0.152741256687942,0.459615103804792
0.5,9,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,9,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,10,AllSensorsTime,0.5,0.112092677622825,0.153520846647636,0.454084787376345
0.5,10,QualityAwareTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.5,10,QualityGatedTime,0.5,0.109701280949671,0.15201262207762,0.464758494576699
0.7,1,AllSensorsTime,0.7,0.121788063525782,0.159075013490936,0.413869365714068
0.7,1,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,1,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,2,AllSensorsTime,0.7,0.120437498792796,0.15743149723841,0.425918258343286
0.7,2,QualityAwareTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,2,QualityGatedTime,0.7,0.109701280949671,0.15201262207762,0.464758494576699
0.7,3,AllSensorsTime,0.7,0.120324629696942,0.159057767697896,0.41399644713882
