Dataset,FaultSensor,FaultType,SeverityLevel,SeverityValue,SeverityUnit,Model,MAE,RMSE,R2,MacroMAE,NormalizedMAE,P95AbsoluteError,MaximumAbsoluteError
NUAA,vibration_y,Noise,4,2,signal_sd,AutoGate,0.0375843313454815,0.046544726956188,0.583287775884501,0.0388824899619114,0.950563576420809,0.0822703160122096,0.142068623997831
NUAA,vibration_y,Noise,4,2,signal_sd,OracleGate,0.0380944885855088,0.0475588327065642,0.564931500527976,0.0393976286940914,0.963466210929845,0.0867768130661906,0.142068623997831
PHM2010,force_z,Saturation,1,0.1,fraction,FullModel,0.0132006776894378,0.016823732322588,0.831893341320315,0.0132006776894378,1.05277530883653,0.0318884269247219,0.056678865538177
PHM2010,force_z,Saturation,1,0.1,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,1,0.1,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,2,0.3,fraction,FullModel,0.0183597077741709,0.0227404303280251,0.692859155467317,0.0183597077741709,1.46421626804559,0.0445122819462588,0.0610281402502867
PHM2010,force_z,Saturation,2,0.3,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,2,0.3,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,3,0.5,fraction,FullModel,0.0203992142933942,0.0271579593050492,0.561939108216696,0.0203992142933942,1.62687019810612,0.0537369928276257,0.0669371325194403
PHM2010,force_z,Saturation,3,0.5,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,3,0.5,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,4,0.7,fraction,FullModel,0.0221053306601908,0.0301372784893778,0.460553624894467,0.0221053306601908,1.7629357264996,0.059835221585152,0.0737816672964531
PHM2010,force_z,Saturation,4,0.7,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Saturation,4,0.7,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,1,0.1,fraction,FullModel,0.0128809513098335,0.01679395028118,0.832487992729205,0.0128809513098335,1.02727661506111,0.034372775187743,0.0515354266058921
PHM2010,force_z,Dropout,1,0.1,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,1,0.1,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,2,0.3,fraction,FullModel,0.0153395949404326,0.0203126236170665,0.754940095928577,0.0153395949404326,1.22335740488252,0.0421907009145398,0.0676318920361497
PHM2010,force_z,Dropout,2,0.3,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,2,0.3,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,3,0.5,fraction,FullModel,0.0231686394106055,0.0293050863248783,0.489934174637259,0.0231686394106055,1.84773631207878,0.0617726975313637,0.0887823057751639
PHM2010,force_z,Dropout,3,0.5,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,3,0.5,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,4,0.7,fraction,FullModel,0.038367066460994,0.0487654993726928,-0.412425560256627,0.038367066460994,3.05983535034291,0.101277264489341,0.137823745821803
PHM2010,force_z,Dropout,4,0.7,fraction,AutoGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Dropout,4,0.7,fraction,OracleGate,0.0109959153803692,0.0150542376025992,0.865396067216731,0.0109959153803693,0.876941963348674,0.0295111741841081,0.0583379175024377
PHM2010,force_z,Bias,1,0.5,signal_sd,FullModel,0.013337095065785,0.0168346597270348,0.831674892049785,0.013337095065785,1.06365481433567,0.0305873876143434,0.0580652439422699
PHM2010,force_z,Bias,1,0.5,signal_sd,AutoGate,0.0124710552963071,0.0161955267043966,0.844213302965855,0.0124710552963071,0.994586747738888,0.0305873876143434,0.0583379175024377
