DetectorFloor,DetectorQuantile,Dataset,TargetSensor,FaultType,TechnicalRepeatN,MeanCorrectDetectionRate,SDCorrectDetectionRate,MeanMAEImprovementPercent
5,99,NUAA,force_z,Saturation,30,0.967105263157894,0.0150618808282194,53.0638338156731
5,99,NUAA,force_z,Dropout,30,0.929166666666667,0.0175924727265529,20.6675950078649
5,99,NUAA,force_z,Bias,30,0.56469298245614,0.0475697517801705,28.0890560114867
5,99,NUAA,force_z,Noise,30,0.617543859649123,0.0323564548826504,47.5159833889533
5,99,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
5,99,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
5,99,NUAA,vibration_x,Bias,30,0.0646929824561403,0.016668955012134,0.165874640314819
5,99,NUAA,vibration_x,Noise,30,0.00811403508771929,0.00331583508548507,-0.292156384342557
5,99,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
5,99,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
5,99,NUAA,vibration_y,Bias,30,0.489912280701754,0.0486754214528467,15.6171404124771
5,99,NUAA,vibration_y,Noise,30,0.0432017543859649,0.0131219260342046,0.821898557309274
5,99,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
5,99,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
5,99,PHM2010,force_z,Bias,30,0.508994708994709,0.0154051336511515,15.8706360586711
5,99,PHM2010,force_z,Noise,30,0.233756613756614,0.0113201762900172,3.38085477372673
5,99,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
5,99,PHM2010,vibration_x,Dropout,30,0.831746031746032,0.0100926819632471,-5.39260955201407
5,99,PHM2010,vibration_x,Bias,30,0.151640211640212,0.0107992658836847,0.938901592682808
5,99,PHM2010,vibration_x,Noise,30,0.00564373897707231,0.00108818435790768,-0.3328280107232
5,99,PHM2010,vibration_y,Saturation,30,0.998941798941799,4.51681028326696e-16,5.7816785077647
5,99,PHM2010,vibration_y,Dropout,30,0.659647266313933,0.0134929995513555,-9.98718450056356
5,99,PHM2010,vibration_y,Bias,30,0.0396119929453263,0.00512931811381414,-0.649965083011707
5,99,PHM2010,vibration_y,Noise,30,0.000564373897707231,0.000772800786603409,-0.525115661667253
5,99.5,NUAA,force_z,Saturation,30,0.967543859649123,0.015543045730378,53.1128818161133
5,99.5,NUAA,force_z,Dropout,30,0.929385964912281,0.0174433752692505,20.6721284369726
5,99.5,NUAA,force_z,Bias,30,0.566228070175439,0.0471870055609287,28.1950397056173
5,99.5,NUAA,force_z,Noise,30,0.618640350877193,0.0329393224763176,47.6598064646834
5,99.5,NUAA,vibration_x,Saturation,30,1,0,-3.25105640565805
5,99.5,NUAA,vibration_x,Dropout,30,1,0,-1.61352100723407
5,99.5,NUAA,vibration_x,Bias,30,0.0138157894736842,0.00468399130790691,0.000479522095848998
5,99.5,NUAA,vibration_x,Noise,30,0.00657894736842105,4.41094754225289e-18,-0.42602565305533
5,99.5,NUAA,vibration_y,Saturation,30,1,0,24.9581641823801
5,99.5,NUAA,vibration_y,Dropout,30,1,0,9.11497907264581
5,99.5,NUAA,vibration_y,Bias,30,0.413377192982456,0.0515740897066845,14.4742175915741
5,99.5,NUAA,vibration_y,Noise,30,0.0236842105263158,0.00802969938498328,0.283953294885868
5,99.5,PHM2010,force_z,Saturation,30,1,0,41.1674683924903
5,99.5,PHM2010,force_z,Dropout,30,1,0,50.0166272725524
5,99.5,PHM2010,force_z,Bias,30,0.284409171075838,0.0158344927734435,12.0674607731449
5,99.5,PHM2010,force_z,Noise,30,0.0447971781305114,0.00496599545283716,0.931682481578487
5,99.5,PHM2010,vibration_x,Saturation,30,0.998941798941799,4.51681028326696e-16,13.1518245300328
5,99.5,PHM2010,vibration_x,Dropout,30,0.76342151675485,0.0119259138922002,-4.18968695158332
