Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianReplacementMAE,CleanMaskDropoutMAE,CleanAutoMAE,CleanTriggerRate,FullRelativeMAE,MedianReplacementRelativeMAE,MaskDropoutRelativeMAE,AutoRelativeMAE,MedianImprovementPercent,MaskDropoutImprovementPercent,AutoImprovementPercent
9,2026071809,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.1807312881451,0.915398527446558,1.11382717687301,1.1158265089375,22.4719005384681,5.66632831227758,5.49699833139502
9,2026071809,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.030940453405,1.12289933947363,1.1247004603123,1.03869997501271,-8.91990277080535,-9.09460935378209,-0.75266438348362
9,2026071809,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.37037197364293,0.963380646853324,0.805881110419484,0.898241086038117,29.6993323431507,41.1925283120635,34.4527541926974
10,2026071810,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.16687562055538,1.08292932582624,1.02742781059827,1.06466732120748,50.0234662500527,52.5848276268422,50.8662467237228
10,2026071810,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.28411751037518,1.13380755758336,1.26808769609016,1.16050027555163,50.3612422551272,44.4823792852116,49.1926194567366
10,2026071810,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.25304000560927,0.978559064021544,0.89895612925599,0.97552398065397,21.9052017779964,28.2579865581477,22.147419373124
10,2026071810,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.25434763095631,0.958393946299719,0.96388969966207,0.972534723177703,23.5942315632991,23.1560951785586,22.4668904236501
10,2026071810,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.65703868202069,1.22089309731642,1.25386392174908,1.47452287483059,26.3207847491168,24.3310409495059,11.0145773403148
10,2026071810,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.26056418749382,1.05184471046731,1.03962450946713,1.01019774500237,16.557623887561,17.5270470332775,19.8614592557338
10,2026071810,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.04715699059054,1.00175061667481,0.971826807373489,0.991997785555287,4.33615726426318,7.19378124712437,5.26752010738616
10,2026071810,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.27369373030053,1.03682083792839,1.02287520972272,1.05295951925257,18.5973194918881,19.6922160022431,17.3302424120336
10,2026071810,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.945611401858603,1.05614660243473,1.11940015929361,1.11593614250264,-11.6892838177366,-18.3784540978913,-18.0121284820877
10,2026071810,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.18430000878711,0.917741970651731,1.11474996816064,1.1191523184037,22.5076446979316,5.87267078530982,5.50094485350302
10,2026071810,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.02804110737365,1.12138753950758,1.12313063083684,1.03672427046215,-9.08002914128647,-9.2495837745356,-0.844631895185628
10,2026071810,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.35911129204521,0.96193003583168,0.801231747596425,0.89232431846963,29.2236006380205,41.0473776293391,34.3450147392385
11,2026071811,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.30841523974545,1.02890312971446,0.981001301005185,1.00466552526613,55.428160757251,57.5032566015565,56.4781280261813
11,2026071811,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.28638629856428,1.15550961653853,1.30155082981911,1.17506854895853,49.4613129345588,43.0738877924344,48.6058611488177
11,2026071811,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.17407016061401,1.00478608228818,0.926249640823478,0.99828822224113,14.4185657727049,21.1078117904749,14.9720131104388
11,2026071811,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.27552249541616,0.953807042406017,0.960255483985477,0.977517851870583,25.2222484641622,24.7166955160461,23.3633389153478
11,2026071811,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.76975743228681,1.16738946144128,1.21225271737716,1.42271856102633,34.0367532779436,31.5017586443619,19.6094032396321
11,2026071811,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.19839100459854,1.03732376134871,1.02052896505612,0.99557896234482,13.4402914100465,14.8417368671753,16.9236953110858
11,2026071811,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0746590918411004,0.0769839701819179,0,1.07476965928866,1.00924603541766,0.980385097569366,0.992427052968998,6.09652713069357,8.78184091852384,7.66141894758706
11,2026071811,NUAA,W8,31,0.0589604040915583,0.0591326667941798,0.060023138097507,0.0592211516527759,0.032258064516129,1.24453405939549,1.03634215961302,1.02098110927165,1.05796449932752,16.7285015794261,17.9627828130657,14.9911172506277
11,2026071811,NUAA,W9,7,0.052176046086479,0.052176046086479,0.0557387638430218,0.052176046086479,0,0.958327164441453,1.04102793989534,1.10385869218898,1.09194400037106,-8.62970168461047,-15.1859963014139,-13.9427161085936
11,2026071811,PHM2010,c1,315,0.00801215564201792,0.00745896232553072,0.00927987493772298,0.00802047011664012,0.307936507936508,1.17903381528916,0.913388967338331,1.11220495339418,1.11544866758302,22.5307234199791,5.66810391935914,5.39298762101607
11,2026071811,PHM2010,c4,315,0.0150087833008585,0.0154105554207928,0.0154616812654739,0.0151692014908191,0.0920634920634921,1.0284895286955,1.1243781137689,1.12622988823136,1.03804706244272,-9.32324368873462,-9.50329165332618,-0.929278663569563
11,2026071811,PHM2010,c6,315,0.0145958561471217,0.0127749705239092,0.0109423572151784,0.0133401554334141,0.282539682539683,1.38120460486661,0.966612943792949,0.797218580480838,0.898845454357734,30.0166723751766,42.2809207504903,34.9230772044423
12,2026071812,NUAA,W1,29,0.0189662457220917,0.0182759483719491,0.0170741751509185,0.0186268797759544,0.137931034482759,2.18630557099781,1.03940392088834,0.984865645888368,1.01237200358081,52.4584333189085,54.9529736852436,53.6948532259024
12,2026071812,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0163762517608315,0.0139356538370896,0.117647058823529,2.17749249295048,1.14389123426678,1.28271140982403,1.15790283537124,47.4675004405263,41.0922694807563,46.8240262999806
12,2026071812,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0270618023104883,0.0295033416448534,0,1.29434468227702,0.999695564226842,0.939389711354801,0.99977041935951,22.7643472472752,27.4235275798239,22.7585640016148
12,2026071812,NUAA,W4,28,0.0499947737234601,0.0491688217260779,0.0505121994922675,0.0490388805558007,0.0714285714285714,1.26237401600665,0.969184727700465,0.969279751178375,0.987676450342082,23.2252315548803,23.2177041916183,21.760394477505
12,2026071812,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0302825821173788,0.0308928557556908,0.142857142857143,1.78588872216894,1.23811102645222,1.2791551352984,1.49767007825531,30.672554729583,28.3743091369722,16.1386675628698
12,2026071812,NUAA,W6,14,0.0360025923619169,0.0375772410008179,0.0365848603558963,0.0340589736308353,0.714285714285714,1.20787411100642,1.03510523776368,1.01758067626499,0.98919516979592,14.3035496554177,15.7544095868466,18.10444807268
