Dataset,Experiment,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,TechnicalRepeatN,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate
NUAA,W4,vibration_y,Saturation,High,294,30,0.138122955401113,0.0416190486712467,0.042504618458456,0.0450506846772538,0.0367750640742336,0.00827562060302016,1,0,0
NUAA,W5,vibration_y,Saturation,High,70,30,0.0198773021855827,0.0222007101092306,0.023985410958258,0.0238831767965537,0.0180507366981775,0.00583244009837621,1,0,0
NUAA,W6,vibration_y,Saturation,High,130,30,0.0397748672873505,0.0372528191185979,0.0367562737392292,0.0328719396422902,0.0296447284012777,0.00322721124101258,1,0,0
NUAA,W7,vibration_y,Saturation,High,82,30,0.0768370471331409,0.0766209742515713,0.0740410800952853,0.0720794024321491,0.0670126793765052,0.00506672305564389,1,0,0
NUAA,W8,vibration_y,Saturation,High,325,30,0.127673520399257,0.0583258686990942,0.0598832512551049,0.0566064526804443,0.0526129780923511,0.00399347458809325,1,0,0
NUAA,W9,vibration_y,Saturation,High,70,30,0.0548697497432105,0.0531505891493157,0.0540746126950773,0.0610922432668082,0.0522299843928699,0.00886225887393828,1,0,0
NUAA,W1,vibration_y,Dropout,Low,315,30,0.0207668790609192,0.0191932961453381,0.0159428547596846,0.0182677069610668,0.0139158094683707,0.00435189749269603,1,0,0
NUAA,W2,vibration_y,Dropout,Low,176,30,0.016197582061736,0.0155913473057951,0.0182107628427749,0.015376408139414,0.014268873604957,0.001107534534457,1,0,0
NUAA,W3,vibration_y,Dropout,Low,108,30,0.0302269860902308,0.0295142394025508,0.0260481239539487,0.029564797190738,0.0242044113085983,0.00536038588213966,1,0,0
NUAA,W4,vibration_y,Dropout,Low,284,30,0.0641535638133704,0.0416098967700823,0.0428236789493081,0.0454677002878849,0.03696565467041,0.00850204561747491,1,0,0
NUAA,W5,vibration_y,Dropout,Low,62,30,0.0243781170800099,0.0231739352140143,0.0244522069145979,0.0242301797091481,0.0217208900084608,0.00250928970068733,1,0,0
NUAA,W6,vibration_y,Dropout,Low,158,30,0.0336647318922603,0.0339823720702486,0.0340511213078118,0.0303270072920053,0.0284070976375378,0.00191990965446753,1,0,0
NUAA,W7,vibration_y,Dropout,Low,66,30,0.077614200262829,0.0776020116673497,0.0757069289421834,0.0739017039334409,0.0686042659067081,0.00529743802673275,1,0,0
NUAA,W8,vibration_y,Dropout,Low,316,30,0.0577917205561396,0.0613229148254765,0.0628304798667959,0.0587377902484475,0.0537317531411121,0.0050060371073354,1,0,0
NUAA,W9,vibration_y,Dropout,Low,67,30,0.0506222326091594,0.0508426997863143,0.0520391218242013,0.0589014912783137,0.0497481053975701,0.00915338588074357,1,0,0
NUAA,W1,vibration_y,Dropout,Medium,291,30,0.0223559813416815,0.0191011309811565,0.016286680999616,0.0182382464016719,0.0133894739998361,0.00484877240183587,1,0,0
NUAA,W2,vibration_y,Dropout,Medium,169,30,0.0147473619266155,0.0138297478417653,0.0160174249695647,0.0135494912566096,0.0121546277947634,0.00139486346184616,1,0,0
NUAA,W3,vibration_y,Dropout,Medium,113,30,0.0295907867039599,0.0293341893256457,0.0275685490204527,0.0293483516820891,0.0250514216838966,0.00429692999819245,1,0,0
NUAA,W4,vibration_y,Dropout,Medium,285,30,0.0648966046604999,0.0441886228849729,0.0452975774282032,0.047617448798163,0.0393186403723794,0.00829880842578365,1,0,0
NUAA,W5,vibration_y,Dropout,Medium,77,30,0.0250811246792268,0.0232807453474743,0.0250012002663123,0.0243907048071643,0.02196960756316,0.00242109724400423,1,0,0
NUAA,W6,vibration_y,Dropout,Medium,124,30,0.0380199280150785,0.038231616984025,0.0374121978513704,0.0346197542192038,0.032287444927628,0.00233230929157579,1,0,0
