Dataset,TargetSensor,FaultType,SeverityBin,RecordScenarioRows,IndependentUnitN,TechnicalRepeatN,MeanDurationFraction,MeanSeverity,FixedMAE,DetectorGuidedMedianMAE,DetectorGuidedMaskMAE,SQTR_MAE,BestDeployableResponse,OracleEnvelopeMAE,MeanSQTRRegret,CorrectDetectionRate,MissRate,WrongChannelRate,OracleFullFraction,OracleMedianFraction,OracleMaskFraction,OracleExclusionFraction
NUAA,vibration_y,Dropout,Low,1552,9,30,0.203189851816513,0.203189851816513,0.0415485498477032,0.0376977754257262,0.0376520875154068,0.0375292479971002,SQTR,0.0326561722268435,0.00487307577025663,1,0,0,0.176546391752577,0.146262886597938,0.35889175257732,0.318298969072165
NUAA,vibration_y,Dropout,Medium,1526,9,30,0.400482609799931,0.400482609799931,0.0424469177853363,0.0384291305032339,0.0384504275482979,0.038607747051801,Median,0.0333538338583336,0.00525391319346744,1,0,0,0.199868938401048,0.1435124508519,0.314547837483617,0.342070773263434
NUAA,vibration_y,Dropout,High,1482,9,30,0.60105249356214,0.60105249356214,0.0417561264302184,0.0383886205362459,0.0381977541293584,0.0381579305380379,SQTR,0.0333905302299325,0.00476740030810536,1,0,0,0.176788124156545,0.145748987854251,0.333333333333333,0.34412955465587
NUAA,vibration_y,Bias,Low,1565,9,30,0.607000422887414,0.924707766686909,0.0404102549474678,0.0401466628556242,0.040104036035192,0.0400352757802574,SQTR,0.0299620554560628,0.0100732203241947,0.120766773162939,0.859424920127795,0.0198083067092652,0.315015974440895,0.135463258785942,0.292012779552716,0.257507987220447
NUAA,vibration_y,Bias,Medium,1513,9,30,0.603017040577994,1.75363752781152,0.0457626352449767,0.0396776916023682,0.0393959141586719,0.0391712058950083,SQTR,0.0285152902919232,0.0106559156030851,0.577660277594184,0.413086582947786,0.0092531394580304,0.350958360872439,0.144745538664904,0.259087904824851,0.245208195637806
NUAA,vibration_y,Bias,High,1482,9,30,0.599755061774981,2.57356448745982,0.0542185355485833,0.0385846781656994,0.0383977943123448,0.0386947215848681,MaskDropout,0.0278150950800438,0.0108796265048243,0.790148448043185,0.201079622132254,0.0087719298245614,0.296221322537112,0.15114709851552,0.284075573549258,0.268556005398111
NUAA,vibration_y,Noise,Low,1510,9,30,0.605661593628077,0.542555826958286,0.0392688189985029,0.0393807202406229,0.0395944956568172,0.0393658372267487,Fixed,0.0330043631619442,0.00636147406480449,0.023841059602649,0.958940397350993,0.0172185430463576,0.150993377483444,0.190728476821192,0.347019867549669,0.311258278145695
NUAA,vibration_y,Noise,Medium,1522,9,30,0.60206892800309,1.12809473040367,0.0398218886160467,0.0399530917785538,0.0396490536499752,0.0399078116896388,MaskDropout,0.0323172493127134,0.0075905623769254,0.0170827858081472,0.964520367936925,0.0183968462549277,0.230617608409987,0.178712220762155,0.33442838370565,0.256241787122208
NUAA,vibration_y,Noise,High,1528,9,30,0.606403157821718,1.70955458700533,0.0409831110290419,0.0399780383407711,0.0388889839824918,0.0398160612808092,MaskDropout,0.0314035525829076,0.00841250869790156,0.0883507853403141,0.888089005235602,0.0235602094240838,0.282722513089005,0.168848167539267,0.325261780104712,0.223167539267016
PHM2010,force_z,Saturation,Low,9408,3,30,0.199716734609859,0.199716734609859,0.0154121715150981,0.0132027661310997,0.011125865784063,0.0109601138459653,SQTR,0.00810659474646641,0.00285351909949887,1,0,0,0.188031462585034,0.256590136054422,0.210884353741497,0.344494047619048
