OuterTestCase,WearThreshold,TargetInnerSensitivity,SelectedScoreThreshold,InnerPositiveRecordN,AchievedInnerSensitivity,AchievedInnerSpecificity
11,0.8,0.95,0.301080608749245,8,1,0.457627118644068
12,0.3,0.85,0.3,64,0.890625,0.757142857142857
12,0.3,0.9,0.297000021546187,64,0.90625,0.742857142857143
12,0.3,0.95,0.237213654954892,64,0.953125,0.614285714285714
12,0.4,0.85,0.349023200459051,47,0.851063829787234,0.758620689655172
12,0.4,0.9,0.315326841652101,47,0.914893617021277,0.689655172413793
12,0.4,0.95,0.310171757886962,47,0.957446808510638,0.689655172413793
12,0.6,0.85,0.397879933513327,19,0.894736842105263,0.678260869565217
12,0.6,0.9,0.349023200459051,19,0.947368421052632,0.626086956521739
12,0.6,0.95,0.315736912275208,19,1,0.565217391304348
12,0.8,0.85,0.397879933513327,8,0.875,0.626984126984127
12,0.8,0.9,0.315736912275208,8,1,0.515873015873016
12,0.8,0.95,0.315736912275208,8,1,0.515873015873016
13,0.3,0.85,0.3,60,0.85,0.835616438356164
13,0.3,0.9,0.278856473935861,60,0.9,0.780821917808219
13,0.3,0.95,0.216159150825743,60,0.95,0.684931506849315
13,0.4,0.85,0.367673547477983,44,0.863636363636364,0.853932584269663
13,0.4,0.9,0.345551837571416,44,0.909090909090909,0.808988764044944
13,0.4,0.95,0.279525791448057,44,0.954545454545455,0.696629213483146
13,0.6,0.85,0.471086268679365,14,0.857142857142857,0.848739495798319
13,0.6,0.9,0.454104785881121,14,0.928571428571429,0.848739495798319
13,0.6,0.95,0.302901315329901,14,1,0.588235294117647
13,0.8,0.85,0.498732253656722,3,1,0.838461538461538
13,0.8,0.9,0.498732253656722,3,1,0.838461538461538
13,0.8,0.95,0.498732253656722,3,1,0.838461538461538
14,0.3,0.85,0.299475131044713,66,0.863636363636364,0.753424657534247
14,0.3,0.9,0.281561823588323,66,0.909090909090909,0.726027397260274
14,0.3,0.95,0.23603733575668,66,0.954545454545455,0.602739726027397
14,0.4,0.85,0.347076769154244,49,0.857142857142857,0.777777777777778
14,0.4,0.9,0.303598153706853,49,0.918367346938776,0.677777777777778
14,0.4,0.95,0.286825009516356,49,0.959183673469388,0.655555555555556
14,0.6,0.85,0.390290196546026,17,0.882352941176471,0.704918032786885
14,0.6,0.9,0.315023525952364,17,0.941176470588235,0.557377049180328
14,0.6,0.95,0.303598153706853,17,1,0.532786885245902
14,0.8,0.85,0.303598153706853,6,1,0.488721804511278
14,0.8,0.9,0.303598153706853,6,1,0.488721804511278
14,0.8,0.95,0.303598153706853,6,1,0.488721804511278
15,0.3,0.85,0.3,66,0.878787878787879,0.797297297297297
15,0.3,0.9,0.28118774897277,66,0.909090909090909,0.756756756756757
15,0.3,0.95,0.259450139303668,66,0.954545454545455,0.716216216216216
15,0.4,0.85,0.346484052198866,49,0.857142857142857,0.791208791208791
15,0.4,0.9,0.327049581814883,49,0.918367346938776,0.747252747252747
15,0.4,0.95,0.316169546196411,49,0.959183673469388,0.725274725274725
15,0.6,0.85,0.40940933943909,19,0.894736842105263,0.743801652892562
15,0.6,0.9,0.337829772369856,19,0.947368421052632,0.611570247933884
15,0.6,0.95,0.318267807154179,19,1,0.570247933884298
15,0.8,0.85,0.40940933943909,8,0.875,0.689393939393939
15,0.8,0.9,0.318267807154179,8,1,0.522727272727273
15,0.8,0.95,0.318267807154179,8,1,0.522727272727273
16,0.3,0.85,0.3,68,0.897058823529412,0.786666666666667
16,0.3,0.9,0.293039401168999,68,0.911764705882353,0.76
16,0.3,0.95,0.242386697064856,68,0.955882352941177,0.64
16,0.4,0.85,0.355979487565105,50,0.86,0.795698924731183
16,0.4,0.9,0.32962504179807,50,0.9,0.731182795698925
16,0.4,0.95,0.308236181538431,50,0.96,0.709677419354839
16,0.6,0.85,0.400048075633946,19,0.894736842105263,0.709677419354839
16,0.6,0.9,0.355979487565105,19,0.947368421052632,0.645161290322581
16,0.6,0.95,0.312991227414393,19,1,0.556451612903226
16,0.8,0.85,0.400048075633946,8,0.875,0.659259259259259
16,0.8,0.9,0.312991227414393,8,1,0.511111111111111
16,0.8,0.95,0.312991227414393,8,1,0.511111111111111
