Repeat,Seed,Dataset,Experiment,TargetPair,FaultType,RunLevelN,ExactSetDetectionRate,BothTargetDetectedRate,OnlyOneTargetDetectedRate,NeitherTargetDetectedRate,ExtraChannelTriggerRate
2,2026081502,NUAA,W8,force_z+vibration_y,Dropout,31,1,1,0,0,0
2,2026081502,NUAA,W9,force_z+vibration_y,Dropout,7,0.857142857142857,0.857142857142857,0.142857142857143,0,0
2,2026081502,NUAA,W1,force_z+vibration_y,Bias,29,0.379310344827586,0.379310344827586,0.586206896551724,0.0344827586206897,0
2,2026081502,NUAA,W2,force_z+vibration_y,Bias,17,0.176470588235294,0.176470588235294,0.764705882352941,0.0588235294117647,0
2,2026081502,NUAA,W3,force_z+vibration_y,Bias,11,0.181818181818182,0.181818181818182,0.545454545454545,0.272727272727273,0
2,2026081502,NUAA,W4,force_z+vibration_y,Bias,28,0.285714285714286,0.285714285714286,0.535714285714286,0.178571428571429,0
2,2026081502,NUAA,W5,force_z+vibration_y,Bias,7,0,0,0.857142857142857,0.142857142857143,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,Bias,14,0.285714285714286,0.285714285714286,0.642857142857143,0.0714285714285714,0
2,2026081502,NUAA,W7,force_z+vibration_y,Bias,8,0.25,0.25,0.5,0.25,0
2,2026081502,NUAA,W8,force_z+vibration_y,Bias,31,0.290322580645161,0.290322580645161,0.548387096774194,0.161290322580645,0
2,2026081502,NUAA,W9,force_z+vibration_y,Bias,7,0,0,0.571428571428571,0.428571428571429,0
2,2026081502,NUAA,W1,force_z+vibration_y,Noise,29,0.0689655172413793,0.0689655172413793,0.448275862068966,0.482758620689655,0
2,2026081502,NUAA,W2,force_z+vibration_y,Noise,17,0,0,0.882352941176471,0.117647058823529,0
2,2026081502,NUAA,W3,force_z+vibration_y,Noise,11,0,0,0.454545454545455,0.545454545454545,0
2,2026081502,NUAA,W4,force_z+vibration_y,Noise,28,0.0357142857142857,0.0357142857142857,0.535714285714286,0.428571428571429,0
2,2026081502,NUAA,W5,force_z+vibration_y,Noise,7,0,0,0.714285714285714,0.285714285714286,0.142857142857143
2,2026081502,NUAA,W6,force_z+vibration_y,Noise,14,0,0,0.571428571428571,0.428571428571429,0
2,2026081502,NUAA,W7,force_z+vibration_y,Noise,8,0,0,0.5,0.5,0
2,2026081502,NUAA,W8,force_z+vibration_y,Noise,31,0,0,0.483870967741935,0.516129032258065,0
2,2026081502,NUAA,W9,force_z+vibration_y,Noise,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,Saturation,29,1,1,0,0,0
2,2026081502,NUAA,W2,vibration_x+vibration_y,Saturation,17,0.882352941176471,1,0,0,0.117647058823529
2,2026081502,NUAA,W3,vibration_x+vibration_y,Saturation,11,1,1,0,0,0
2,2026081502,NUAA,W4,vibration_x+vibration_y,Saturation,28,1,1,0,0,0
2,2026081502,NUAA,W5,vibration_x+vibration_y,Saturation,7,1,1,0,0,0
2,2026081502,NUAA,W6,vibration_x+vibration_y,Saturation,14,1,1,0,0,0
2,2026081502,NUAA,W7,vibration_x+vibration_y,Saturation,8,1,1,0,0,0
2,2026081502,NUAA,W8,vibration_x+vibration_y,Saturation,31,1,1,0,0,0
2,2026081502,NUAA,W9,vibration_x+vibration_y,Saturation,7,1,1,0,0,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,Dropout,29,1,1,0,0,0
2,2026081502,NUAA,W2,vibration_x+vibration_y,Dropout,17,0.882352941176471,1,0,0,0.117647058823529
2,2026081502,NUAA,W3,vibration_x+vibration_y,Dropout,11,1,1,0,0,0
2,2026081502,NUAA,W4,vibration_x+vibration_y,Dropout,28,1,1,0,0,0
2,2026081502,NUAA,W5,vibration_x+vibration_y,Dropout,7,1,1,0,0,0
2,2026081502,NUAA,W6,vibration_x+vibration_y,Dropout,14,1,1,0,0,0
2,2026081502,NUAA,W7,vibration_x+vibration_y,Dropout,8,1,1,0,0,0
2,2026081502,NUAA,W8,vibration_x+vibration_y,Dropout,31,1,1,0,0,0
2,2026081502,NUAA,W9,vibration_x+vibration_y,Dropout,7,1,1,0,0,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,Bias,29,0.0344827586206897,0.0344827586206897,0.413793103448276,0.551724137931034,0
2,2026081502,NUAA,W2,vibration_x+vibration_y,Bias,17,0.0588235294117647,0.0588235294117647,0.470588235294118,0.470588235294118,0.117647058823529
2,2026081502,NUAA,W3,vibration_x+vibration_y,Bias,11,0.0909090909090909,0.0909090909090909,0.363636363636364,0.545454545454545,0
2,2026081502,NUAA,W4,vibration_x+vibration_y,Bias,28,0,0,0.357142857142857,0.642857142857143,0
2,2026081502,NUAA,W5,vibration_x+vibration_y,Bias,7,0.285714285714286,0.285714285714286,0.571428571428571,0.142857142857143,0
2,2026081502,NUAA,W6,vibration_x+vibration_y,Bias,14,0,0,0.642857142857143,0.357142857142857,0
2,2026081502,NUAA,W7,vibration_x+vibration_y,Bias,8,0,0,0.625,0.375,0
2,2026081502,NUAA,W8,vibration_x+vibration_y,Bias,31,0,0,0.387096774193548,0.612903225806452,0
2,2026081502,NUAA,W9,vibration_x+vibration_y,Bias,7,0,0,0.428571428571429,0.571428571428571,0
2,2026081502,NUAA,W1,vibration_x+vibration_y,Noise,29,0,0,0.0689655172413793,0.931034482758621,0
