Repeat,Seed,Dataset,Experiment,RunLevelN,CleanFullMAE,CleanMedianMAE,CleanSingleSQTR_MAE,CleanSubsetRoutingMAE,CleanAnyTriggerRate,FullRelativeMAE,MedianRelativeMAE,SingleSQTR_RelativeMAE,SubsetRoutingRelativeMAE,OraclePairExclusionRelativeMAE,SubsetImprovementPercent,SingleImprovementPercent
17,2026081517,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.07553431274616,0.990058683384013,1.05695263545739,1.09499061807084,1.26832012139733,-1.80898973599479,1.72766940752713
17,2026081517,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.0128959177504,1.10829839592011,0.989175996440943,1.02102830458773,1.08627253308084,-0.802884748059375,2.3417925666178
17,2026081517,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.28176375501563,1.21921951658981,1.15682609136956,1.15634461965061,0.747324708690607,9.78488702572857,9.74732380730685
18,2026081518,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.70734707704534,1.08984749403972,1.11068493405129,1.05833734809244,0.897245235256814,38.0127589567812,34.9467399461978
18,2026081518,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,1.9771877819697,1.38048108245059,1.42869045736967,1.41313781680832,1.30145579841828,28.5278904869351,27.7412863665181
18,2026081518,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.04016249666694,0.989071845315556,0.993520467742061,0.958379470620654,0.884640170041743,7.86252401027267,4.48410984575405
18,2026081518,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.12858404841338,0.997172130541072,1.08703503166824,1.01313216396781,0.940176092670744,10.2297994205994,3.68151727853619
18,2026081518,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.4635704628763,1.23180139409892,1.57881985828135,1.48007839664498,1.61660246794397,-1.12792203637646,-7.87453684864309
18,2026081518,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.08501481191678,1.03745411733295,1.02094795233096,1.01519542574114,0.984256071863097,6.43487862182269,5.90469907711562
18,2026081518,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,1.02108376002052,1.01074311425753,0.99781814634978,1.00451149532353,0.987694639914898,1.6230073717617,2.27852156519191
18,2026081518,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.23896374252659,1.07798034732557,1.09678232166042,1.21056295379754,1.48740138951196,2.29230184501893,11.4758338751884
18,2026081518,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.944199464294467,1.12123056328159,1.14224733002307,1.14140543960278,1.20304456592544,-20.886050327901,-20.9752147949577
18,2026081518,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.07672631927857,0.993988643036681,1.056333312346,1.08999357137552,1.26832012139733,-1.23218424769705,1.8939823952876
18,2026081518,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01311051561125,1.10844971886469,0.99151893723106,1.02232348188866,1.08627253308084,-0.909374262278933,2.13121649094335
18,2026081518,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.27164516671012,1.2158988350128,1.15170443069815,1.1503838802405,0.747324708690607,9.53578007797118,9.43193424957335
19,2026081519,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.54061271325052,1.07436879063133,1.09203069995293,1.03383731755585,0.897245235256814,32.8944056696396,29.1171174584902
19,2026081519,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,2.07978869972404,1.30729524199009,1.36061262823122,1.33197420909415,1.30145579841828,35.9562724198432,34.5792854624242
19,2026081519,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.09127829126387,0.983189748434484,0.998739077437537,0.960472157809471,0.884640170041743,11.9865055963781,8.4798913867481
19,2026081519,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.07637754857726,0.960034819428793,1.05416545896967,0.982556071207722,0.940176092670744,8.71640972942497,2.06359651749911
19,2026081519,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.47275395878038,1.36090992740616,1.64501819174062,1.59810848228861,1.61660246794397,-8.51157267382543,-11.6967421430598
19,2026081519,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.08085306390875,1.03145539524389,1.00658136255449,1.00724027586304,0.984256071863097,6.81061936203413,6.87158170100031
19,2026081519,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,1.01148434719497,1.0108232214785,0.984019325658286,1.00231520371614,0.987694639914898,0.906503744152053,2.71531849334594
19,2026081519,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.26912602432132,1.08300391295726,1.10427124383312,1.20980822168384,1.48740138951196,4.67390956459227,12.9896304487464
19,2026081519,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.8505373519832,1.11196488475574,1.13576440101809,1.12018280721029,1.20304456592544,-31.7029527978236,-33.5349233481434
19,2026081519,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.08533363714307,0.994781033634317,1.06175270365963,1.0989074653471,1.26832012139733,-1.25065949672045,2.1726898233347
19,2026081519,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01359380215777,1.11469285074541,0.993696454103118,1.02548222809272,1.08627253308084,-1.17289844409479,1.96304949895047
19,2026081519,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.26715973153444,1.21768756903149,1.15409827032694,1.1536522703896,0.747324708690607,8.95762849150722,8.92243167091405
20,2026081520,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.61973640679765,1.08717115942342,1.09518868887469,1.04390735196741,0.897245235256814,35.5507879191715,32.3847581446928
20,2026081520,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,2.01492649809821,1.33869923034102,1.41446059971884,1.39759353651614,1.30145579841828,30.6379891358188,29.8008835034986
20,2026081520,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.07565679127421,0.989391886113774,1.00078772851151,0.956883850439254,0.884640170041743,11.041899404945,6.96031144599689
20,2026081520,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.15809664857452,0.976230895124733,1.04306742905336,0.984389653635449,0.940176092670744,14.9993521829881,9.93260965419006
20,2026081520,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.65804790319574,1.30675867946305,1.63523658597404,1.55354718335804,1.61660246794397,6.30263574630618,1.3757936171644
20,2026081520,NUAA,W6,14,0.0360025923619169,0.0360025923619169,0.0360025923619169,0.0360025923619169,0,1.08918389513725,1.04165004008164,1.01688331546336,1.01798103750342,0.984256071863097,6.53726684279178,6.63805074576348
20,2026081520,NUAA,W7,8,0.0769839701819179,0.0769839701819179,0.0769839701819179,0.0769839701819179,0,0.999199010515661,1.01432485854977,0.995001419774185,1.00429130694044,0.987694639914898,-0.509637857042094,0.420095566278603
20,2026081520,NUAA,W8,31,0.0589604040915583,0.0589604040915583,0.0589604040915583,0.0589604040915583,0,1.25498202966864,1.09808209777648,1.11395334483595,1.21602591683478,1.48740138951196,3.1041171835855,11.2375063147259
20,2026081520,NUAA,W9,7,0.052176046086479,0.052176046086479,0.052176046086479,0.052176046086479,0,0.897000076490153,1.10135813980746,1.12308429327454,1.12709885992206,1.20304456592544,-25.6520360992892,-25.2044813272511
20,2026081520,PHM2010,c1,315,0.00801215564201792,0.00798163864359124,0.00819049407155347,0.00816423872305722,0.053968253968254,1.09443676263469,1.00006211408777,1.06744289420914,1.10317394223752,1.26832012139733,-0.798326582322789,2.46646214264329
20,2026081520,PHM2010,c4,315,0.0150087833008585,0.0151961149394473,0.0150591275367102,0.0150591275367102,0.0285714285714286,1.01726082813306,1.11569338704652,0.995462118852796,1.02779600143122,1.08627253308084,-1.03564130327322,2.14288299297508
20,2026081520,PHM2010,c6,315,0.0145958561471217,0.0146218544703782,0.0145758642916344,0.0145758642916344,0.00634920634920635,1.27360623331605,1.21184734109756,1.15135189438635,1.14982238182712,0.747324708690607,9.71916187679481,9.59906882768539
21,2026081521,NUAA,W1,29,0.0189662457220917,0.0188031553844995,0.01855793107983,0.01855793107983,0.0689655172413793,1.73607008587547,1.05566230234983,1.05407315543778,0.999060252944825,0.897245235256814,42.4527695584931,39.2839514940304
21,2026081521,NUAA,W2,17,0.0148476120149696,0.0144463930649372,0.0139356538370896,0.0139356538370896,0.117647058823529,2.05034984299265,1.29264548412748,1.3612405405402,1.32678638152704,1.30145579841828,35.2897562305522,33.6093523165121
21,2026081521,NUAA,W3,11,0.0295033416448534,0.0295033416448534,0.0295033416448534,0.0295033416448534,0,1.09574472160939,0.975860393675099,0.995424756962158,0.956753444433364,0.884640170041743,12.6846403578271,9.15541390880577
21,2026081521,NUAA,W4,28,0.0499947737234601,0.0498829239877363,0.0498742564749862,0.0498742564749862,0.0357142857142857,1.11720996076973,0.987111710426585,1.07698941033493,0.986802878819891,0.940176092670744,11.6725670669809,3.60008877893312
21,2026081521,NUAA,W5,7,0.0243134056071281,0.0289433481729886,0.0308928557556908,0.0308928557556908,0.142857142857143,1.59984926753011,1.35243389470461,1.67867240652511,1.62184210164833,1.61660246794397,-1.37468163811257,-4.92691034054027
