CaseID,ActualWearThreshold,HighWearRecordN,Model,MAE,RMSE,MeanResidual,UnderpredictionRate,AlertMissRate,AlertSensitivity,LargeUnderpredictionN,MaximumUnderprediction
9,0.4,3,SafetyWeightedTimeGated,0.089780932748123,0.0927117938759297,-0.0301793739348923,0.666666666666667,0,1,0,0.118293078694769
10,0.4,4,PrimaryTimeGated,0.085038398828542,0.105647341085043,0.045466467808901,0.25,0,1,0,0.0791438620392819
10,0.4,4,SafetyWeightedTimeGated,0.085038398828542,0.105647341085043,0.045466467808901,0.25,0,1,0,0.0791438620392819
11,0.4,6,PrimaryTimeGated,0.0935411125403007,0.103064590611735,-0.0808551464557,0.833333333333333,0.166666666666667,0.833333333333333,0,0.154259720114944
11,0.4,6,SafetyWeightedTimeGated,0.0935411125403007,0.103064590611735,-0.0808551464557,0.833333333333333,0.166666666666667,0.833333333333333,0,0.154259720114944
12,0.4,5,PrimaryTimeGated,0.0790409286190512,0.0832343895522094,-0.0790409286190512,1,0.6,0.4,0,0.120247370200184
12,0.4,5,SafetyWeightedTimeGated,0.0790409286190512,0.0832343895522094,-0.0790409286190512,1,0.6,0.4,0,0.120247370200184
5,0.4,3,PrimaryTimeGated,0.240437377109077,0.24423580087197,0.240437377109077,0,0,1,0,0
5,0.4,3,SafetyWeightedTimeGated,0.240437377109077,0.24423580087197,0.240437377109077,0,0,1,0,0
7,0.4,1,PrimaryTimeGated,0.175517146003359,0.175517146003359,-0.175517146003359,1,1,0,0,0.175517146003359
7,0.4,1,SafetyWeightedTimeGated,0.175517146003359,0.175517146003359,-0.175517146003359,1,1,0,0,0.175517146003359
8,0.4,2,PrimaryTimeGated,0.163272097637718,0.168060204869284,-0.163272097637718,1,0.5,0.5,1,0.20310242017828
8,0.4,2,SafetyWeightedTimeGated,0.163272097637718,0.168060204869284,-0.163272097637718,1,0.5,0.5,1,0.20310242017828
13,0.4,8,PrimaryTimeGated,0.501495508160159,0.562675089537119,-0.501495508160159,1,0.5,0.5,7,1.04163260812232
13,0.4,8,SafetyWeightedTimeGated,0.501495508160159,0.562675089537119,-0.501495508160159,1,0.5,0.5,7,1.04163260812232
14,0.4,3,PrimaryTimeGated,0.305731381936566,0.357508569138505,-0.305731381936566,1,0,1,2,0.544639007451802
14,0.4,3,SafetyWeightedTimeGated,0.305731381936566,0.357508569138505,-0.305731381936566,1,0,1,2,0.544639007451802
15,0.4,3,PrimaryTimeGated,0.0213491053359876,0.0280999531893993,-0.00846230030093366,0.333333333333333,0,1,0,0.044717108455382
15,0.4,3,SafetyWeightedTimeGated,0.0622452870513007,0.0684358100190624,0.045406676086168,0.333333333333333,0,1,0,0.025257916447699
16,0.4,2,PrimaryTimeGated,0.0702423946872545,0.0844462762554799,0.0468740819858565,0.5,0,1,0,0.0233683127013979
16,0.4,2,SafetyWeightedTimeGated,0.0702423946872545,0.0844462762554799,0.0468740819858565,0.5,0,1,0,0.0233683127013979
9,0.6,2,PrimaryTimeGated,0.0899702300122615,0.0943229878977095,-0.0899702300122615,1,0.5,0.5,0,0.118293078694769
9,0.6,2,SafetyWeightedTimeGated,0.0899702300122615,0.0943229878977095,-0.0899702300122615,1,0.5,0.5,0,0.118293078694769
10,0.6,1,PrimaryTimeGated,0.0791438620392819,0.0791438620392819,-0.0791438620392819,1,0,1,0,0.0791438620392819
10,0.6,1,SafetyWeightedTimeGated,0.0791438620392819,0.0791438620392819,-0.0791438620392819,1,0,1,0,0.0791438620392819
11,0.6,3,PrimaryTimeGated,0.129027969966617,0.130445185553423,-0.129027969966617,1,0.666666666666667,0.333333333333333,0,0.154259720114944
11,0.6,3,SafetyWeightedTimeGated,0.129027969966617,0.130445185553423,-0.129027969966617,1,0.666666666666667,0.333333333333333,0,0.154259720114944
12,0.6,1,PrimaryTimeGated,0.079068545334569,0.079068545334569,-0.079068545334569,1,1,0,0,0.079068545334569
